,activity,before_break,date,event,h2,h3,h4,h5,pcode,player,ptype,type,day
4267,team vs. def,post,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4269,team vs. offense,post,2017-08-03 11:15:00,fall camp practice #4,1.0,0.0,0.0,0.0,safety,safety,defensive,camp,2017-08-03
4270,team vs. offense,post,2017-08-03 11:15:00,fall camp practice #4,1.0,1.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4268,team vs. def,post,2017-08-03 11:15:00,fall camp practice #4,0.0,1.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-03
4272,team vs. offense,post,2017-08-03 11:15:00,fall camp practice #4,1.0,0.0,0.0,0.0,dt,def tackle,defensive,camp,2017-08-03
4273,team vs. def,post,2017-08-03 11:15:00,fall camp practice #4,0.0,2.0,1.0,0.0,te,tight end,offensive,camp,2017-08-03
4271,team vs. def,post,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,0.0,0.0,og,off guard,offensive,camp,2017-08-03
4274,team vs. offense,post,2017-08-03 11:15:00,fall camp practice #4,1.0,0.0,0.0,0.0,lb,linebacker,defensive,camp,2017-08-03
4275,team vs. offense,post,2017-08-03 11:15:00,fall camp practice #4,0.0,0.0,1.0,0.0,de,def end,defensive,camp,2017-08-03
4261,team vs. def,post,2017-08-03 11:20:00,fall camp practice #4,0.0,1.0,1.0,0.0,qbrb,running back,offensive,camp,2017-08-03
4262,team vs. def,post,2017-08-03 11:20:00,fall camp practice #4,1.0,0.0,0.0,0.0,qbrb,running back,offensive,camp,2017-08-03
4264,team vs. def,post,2017-08-03 11:20:00,fall camp practice #4,0.0,0.0,0.0,0.0,ot,off tackle,offensive,camp,2017-08-03
4265,team vs. offense,post,2017-08-03 11:20:00,fall camp practice #4,2.0,0.0,0.0,0.0,safety,safety,defensive,camp,2017-08-03
4266,team vs. def,post,2017-08-03 11:20:00,fall camp practice #4,2.0,1.0,0.0,0.0,te,tight end,offensive,camp,2017-08-03
